页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,reason,resolved_by,resolved_url,evidence,confidence
昇腾,34,Kubernetes DRA,推理加速,https://github.com/kubernetes/dynamic-resource-allocation,valid,repo,,potential_mirror,layer4_not_mirror,,"Not a mirror: description='None', homepage=''",S
昇腾,45,X402,应用加速,https://github.com/coinbase/x402,valid,repo,,potential_mirror,L3-mirror,https://github.com/x402-foundation/x402,GitHub fork of x402-foundation/x402,S
鲲鹏,1,Glibc,基础库&加速库,https://github.com/bminor/glibc,valid,repo,,potential_mirror,L0-known,https://sourceware.org/git/glibc.git,official upstream is sourceware.org,S
鲲鹏,8,Suricata,基础库&加速库,https://github.com/OISF/suricata.git,not_found,repo,,not_found,L0-known,https://github.com/OISF/suricata,.git suffix caused 404,S
鲲鹏,14,X265,基础库&加速库,https://github.com/videolan/x265,valid,repo,,potential_mirror,L0-known,https://bitbucket.org/multicoreware/x265_git,official upstream is MulticoreWare Bitbucket,S
鲲鹏,24,Mesa,ARM应用支持,https://github.com/mesa3d/mesa,not_found,repo,,not_found,L0-known,https://gitlab.freedesktop.org/mesa/mesa,official upstream is on freedesktop GitLab,S
鲲鹏,35,Ffmpeg,ARM应用支持,https://github.com/ffmpeg/ffmpeg,valid,repo,https://github.com/FFmpeg/FFmpeg,potential_mirror,L0-known,https://git.ffmpeg.org/ffmpeg.git,official upstream is git.ffmpeg.org,S
鲲鹏,46,Impala,大数据,https://github.com/apache/impala,valid,repo,,potential_mirror,L0-known,https://github.com/apache/impala,"Apache official mirror, dev on Apache infra",S
鲲鹏,53,Oozie,大数据,https://github.com/apache/oozie,valid,repo,,potential_mirror,L0-known,https://github.com/apache/oozie,"Apache official mirror, archived",S
鲲鹏,62,Pig,大数据,https://github.com/apache/pig,valid,repo,,potential_mirror,L0-known,https://github.com/apache/pig,"Apache official mirror, dev on Apache infra",S
鲲鹏,74,Kudu,大数据,https://github.com/apache/kudu,valid,repo,,potential_mirror,L0-known,https://github.com/apache/kudu,"Apache official mirror, dev on Apache infra",S
鲲鹏,87,SeaweedFS,分布式存储,https://github.com/chrislusf/seaweedfs,valid,repo,,potential_mirror,L3-mirror,https://github.com/seaweedfs/seaweedfs,GitHub fork of seaweedfs/seaweedfs,S
鲲鹏,91,OpenStack,虚拟化,https://github.com/openstack/openstack,valid,repo,,potential_mirror,L0-known,https://opendev.org/openstack,official upstream is OpenDev,S
鲲鹏,94,QEMU,虚拟化,https://github.com/qemu/qemu,valid,repo,,potential_mirror,L0-known,https://gitlab.com/qemu-project/qemu,official upstream is QEMU GitLab,S
鲲鹏,122,chromium,Web,https://github.com/chromium/chromium,valid,repo,,potential_mirror,L0-known,https://chromium.googlesource.com/chromium/src,official upstream is Chromium Googlesource,S
鲲鹏,131,LVS,Web,在内核集成,no_url,,,no_url,L0-known,https://github.com/alibaba/LVS,LVS is kernel-integrated; alibaba/LVS is the main open-source fork,S
鲲鹏,134,PostgreSQL,数据库,https://github.com/postgres/postgres,valid,repo,,potential_mirror,L0-known,https://git.postgresql.org/gitweb/?p=postgresql.git,official upstream is git.postgresql.org,S
鲲鹏,139,SQLite,数据库,https://github.com/sqlite/sqlite,valid,repo,,potential_mirror,L0-known,https://www.sqlite.org/src,official upstream is sqlite.org Fossil,S
鲲鹏,147,CMake,基础库&加速库,https://github.com/kitware/cmake,valid,repo,https://github.com/Kitware/CMake,potential_mirror,L0-known,https://gitlab.kitware.com/cmake/cmake,official upstream is Kitware GitLab,S
鲲鹏,155,Lua,基础库&加速库,https://github.com/lua/lua,valid,repo,,potential_mirror,L0-known,https://www.lua.org/source/,official upstream is lua.org,S
鲲鹏,158,R,基础库&加速库,https://github.com/wch/r-source,valid,repo,,potential_mirror,L0-known,https://svn.r-project.org/R/,official upstream is R project SVN,S
鲲鹏,163,APR-util,基础库&加速库,https://github.com/apache/apr-util,valid,repo,,potential_mirror,L0-known,https://github.com/apache/apr-util,Apache official mirror,S
鲲鹏,176,Libxml2,基础库&加速库,https://github.com/gnome/libxml2,valid,repo,https://github.com/GNOME/libxml2,potential_mirror,L0-known,https://gitlab.gnome.org/GNOME/libxml2,official upstream is GNOME GitLab,S
